 "A Case Study of Web API Evolution"  $ "Sohan S.M., Anslow C., Maurer F."  $ reviewer2 $ ()$"case,study"
 "A case study of API redesign for improved usability"  $ "Stylos J., Graf B., Busse D.K., Ziegler C., Ehret R., Karstens J."  $ reviewer1 $ ()$"case,study"
 "A cooperative approach for combining client-based and library-based API usage pattern mining"  $ "Saied M.A., Sahraoui H."  $ reviewer2 $ ()$"pratic,contribution"
 "A dataset for API usage"  $ "Sawant A.A., Bacchelli A."  $ reviewer2 $ ()$"empirical,study"
 "A framework for extending usability engineering: API usability essentials: Extending usability via component-based platform"  $ "Munir M.B., Mushtaq A."  $ reviewer1 $ ()$"framework"
 "A study of modern Linux API usage and compatibility: What to support when you're supporting"  $ "Tsai C.-C., Jain B., Abdul N.A., Porter D.E."  $ reviewer2 $ ()$"(survey,,analyse)[D[D[D"
 "ACUA: API change and usage auditor"  $ "Wu W., Adams B., Gueheneuc Y.-G., Antoniol G."  $ reviewer2 $ ()$"(framework,,pratic,contribution)"
 "API peer reviews: A method for evaluating usability of application programming interfaces"  $ "Farooq U., Zirkler D."  $ reviewer1 $ ()$"(peer,evaluation)"
 "API usability: CHI'2009 special interest group meeting"  $ "Daughtry J.M., Farooq U., Stylos J., Myers B.A."  $ reviewer1 $ ()$"meeting,discussion"
 "An empirical comparison of static and dynamic type systems on API usage in the presence of an IDE: Java vs. Groovy with eclipse"  $ "Petersen P., Hanenberg S., Robbes R."  $ reviewer2 $ ()$"empirical_study"
 "An empirical study of API usability"  $ "Piccioni M., Furia C.A., Meyer B."  $ reviewer1 $ ()$"empirical_study,discussion"
 "An exploratory study of api changes and usages based on apache and eclipse ecosystems"  $ "Wu W., Khomh F., Adams B., Guéhéneuc Y.-G., Antoniol G."  $ reviewer2 $ ()$"exploratory_study,framework"
 "Automated measurement of API usability: The API Concepts Framework"  $ "Scheller T., Kühn E."  $ reviewer2 $ ()$"evaluation,measurement,litterature_review"
 "Automatic evaluation of API usability using complexity metrics and visualizations"  $ "De Souza C.R.B., Bentolila D.L.M."  $ reviewer2 $ ()$"evaluation"
 "Automatic parameter recommendation for practical API usage"  $ "Zhang C., Yang J., Zhang Y., Fan J., Zhang X., Zhao J., Ou P."  $ reviewer2 $ ()$"completion,pratic_contribution,user_study"
 "Constructing usage scenarios for API redocumentation"  $ "Juanjuan J., Koskinen J., Ruokonen A., Systä T."  $ reviewer2 $ ()$"pratic_contribution"
 "Designing and evaluating the usability of an API for real-time multimedia services in the Internet"  $ "López-Fernández L., García B., Gallego M., Gortázar F."  $ reviewer1 $ ()$"evaluation,theoric_contribution,discussion"
 "Detecting inefficient API usage"  $ "Kawrykow D., Robillard M.P."  $ reviewer2 $ ()$"pratical_contribution"
 "Generating API-usage example for project developers"  $ "Zhu Z., Zou Y., Jin Y., Xie B."  $ reviewer2 $ ()$"pratic_contribution"
